"","RIVTYPE","tot_leng18","B18","C18","A18","D18","F18","DDef18","E18","tot_pa18","B","C","A","D","F","DDef","E","tot_pa24","prp_pa18","prp_pa18_ab","prp_pa18_model","EPL18_all","EPL18_ab","EPL18_model","EPL18_wp_ab_model","prp_pa24","prp_pa24_ab","prp_pa24_model","EPL24_all","EPL24_ab","EPL24_model","EPL24_wp_ab_model","zone"
"33","14_N_U",458906.134771759,0,11292.3019673401,4647.4966614755,0,1337.68377183836,0,0,17277.482400654,0,15284.4036616342,4647.4966614755,0,408.309958622197,0,0,20340.2102817319,0.0376492731116944,0.0101273360919155,0.0178009292312561,"PP","NP","PP","PP",0.0443232476982428,0.0101273360919155,0.0202081603473013,"PP","NP","PP","PP","Upper foothill"
"34","14_P_F",472507.060726363,1958.75943852396,1774.52009349148,0,0,26710.4384947145,0,0,30443.71802673,3484.61029199716,20733.1410522031,0,447.443904275055,19429.3567218678,0,0,44094.5519703432,0.0644301864609817,0.0041454606742021,0.0109250416451075,"PP","NP","NP","NP",0.0933204085935959,0.00737472639380336,0.0249344876095945,"PP","NP","PP","PP","Lowland river"
"35","14_P_L",2299388.46057316,29776.2782403981,9534.85183199899,0,0,44825.7533825844,0,0,84136.8834549814,26827.8329483046,44045.9320713951,0,13171.6087397002,8860.65695683515,0,0,92906.0307162351,0.0365909827319951,0.012949651070692,0.0161431222973971,"PP","NP","PP","PP",0.0404046694628869,0.0116673773954738,0.019517868188366,"PP","NP","PP","PP","Lower foothill"
"36","14_P_M",309182.278150968,4621.82338558715,12374.3229105032,0,268.658130433893,410.623819862953,0,0,17675.4282463872,7728.72946730921,11302.5160912168,0,268.658130433893,410.623819862953,0,0,19710.5275088228,0.0571683097494889,0.0149485391375841,0.0273488510739473,"PP","NP","PP","PP",0.0637505086860074,0.0249973236290581,0.0363576598989347,"PP","PP","PP","PP","Mountain stream"
"37","14_P_U",2927831.20478517,75778.3651622288,21002.0950445791,0,660.462870822316,5730.68024169275,0,0,103171.603319323,98791.2976646079,23646.0446707679,954.734479065108,674.71300788306,1855.86049883099,0,0,125922.650321155,0.0352382347557133,0.025882081261508,0.0282974648352713,"PP","PP","PP","PP",0.0430088490468133,0.0340682317958257,0.0366236432352729,"PP","PP","PP","PP","Upper foothill"
"38","15_N_F",5740.39804225053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NP","NP","NP","NP",0,0,0,"NP","NP","NP","NP","Lowland river"
"39","15_N_L",473256.179254681,178.233530397738,3974.99633402416,0,1594.18357981991,6351.17782449097,0,0,12098.5912687328,96.884814240632,6866.57668764852,0,5232.01458108425,0,0,0,12195.4760829734,0.0255645711542246,0.000376611100310267,0.00524896535088503,"PP","NP","NP","NP",0.0257692907511102,0.000204719596885588,0.00787409094315297,"PP","NP","NP","NP","Lower foothill"
"40","15_N_M",146727.442321257,2461.97406888646,0,18170.962596332,0,0,0,0,20632.9366652184,5336.38296553951,2262.38107924098,18170.962596332,0,0,0,0,25769.7266411124,0.140620843236966,0.140620843236966,0.140620843236966,"PP","PP","PP","PP",0.175629904218532,0.160210967968777,0.164836648843703,"MP","MP","MP","MP","Mountain stream"
"41","15_N_U",882760.41108747,12068.9186491995,1370.36135733977,0,459.482467351076,347.082576657537,0,0,14245.8450505479,10752.7148862945,12068.9186491995,0,1829.84382469084,358.946562531108,0,0,25010.423922716,0.0161378386158012,0.0136717941783681,0.0143329717728119,"PP","NP","NP","NP",0.028332063387285,0.0121807851272445,0.0169448449396227,"PP","NP","PP","PP","Upper foothill"
"42","15_P_F",600616.588628708,25359.6234415665,79.0085872364296,0,0,0,0,0,25438.6320288029,1917.65390024753,23441.9695413189,0,0,0,0,79.0085872364296,25438.6320288029,0.0423541948564605,0.0422226490604697,0.042262112799267,"PP","PP","PP","PP",0.0423541948564605,0.0031928087511299,0.0149149154235309,"PP","NP","NP","NP","Lowland river"
"43","15_P_L",2188706.67696741,23352.1655046553,25290.9872903932,2479.83693457876,10163.2968292165,5210.21130673782,0,373.534342720771,66870.0322083023,24500.037891413,48413.2153903444,2479.83693457876,15099.4469251347,0,0,5831.79173436542,96324.3288758362,0.0305523042041225,0.011802404913858,0.0169171422693175,"PP","NP","PP","PP",0.0440097021174621,0.0123268572759937,0.0212988123007248,"PP","NP","PP","PP","Lower foothill"
